Pb206Pb204,Pb207Pb204,Pb208Pb204,Sample
18.866,15.657,38.534,Li1
19.002,15.674,38.5,Li6
19,15.682,38.584,Li7
18.887,15.667,38.499,Li8
18.591,15.637,38.246,Li9
19.076,15.688,38.592,Li10
19.024,15.708,38.644,Li11
18.999,15.691,38.64,Li12
18.994,15.667,38.519,Li13
19.02,15.674,38.535,Li14
18.984,15.656,38.524,Li15
18.827,15.644,38.359,Li16
18.893,15.657,38.462,Li19
18.956,15.65,38.488,Li20
18.971,15.651,38.47,Li21
19.088,15.682,38.624,Li22
18.886,15.645,38.463,Li23
18.894,15.663,38.534,Li24
18.958,15.723,38.498,Li25
19.066,15.679,38.615,Li26
